component_folder,status,txt_files_checked,parser_used,txt_rows,csv_rows_before,csv_rows_after,csv_path,source_txt_used
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001,UPDATED,1,json_objects,7,0,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/Profile_09__ProfileFragment_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleInstrumentedTest_002,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleInstrumentedTest_002/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleInstrumentedTest_002/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleUnitTest_010,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleUnitTest_010/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ExampleUnitTest_010/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__HomeFragment_008/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003,KEPT,1,json_objects,7,7,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__LoginActivity_003/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__MainActivity_004,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__MainActivity_004/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__MainActivity_004/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007,UPDATED,1,json_objects,7,0,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__ProfileFragment_007/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005,UPDATED,1,json_objects,5,0,5,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__RegistrationActivity_005/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006,KEPT,1,json_objects,14,14,14,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__Speedometer_006/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__StatisticsFragment_009,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__StatisticsFragment_009/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__StatisticsFragment_009/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__build.gradle_001,KEPT,1,none,0,0,0,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/app_01__build.gradle_001/testcases.csv,
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_02__ExampleInstrumentedTest_001,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_02__ExampleInstrumentedTest_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_02__ExampleInstrumentedTest_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__HomeFragment_006,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__HomeFragment_006/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__HomeFragment_006/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__LoginActivity_001,KEPT,1,json_objects,7,7,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__LoginActivity_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__LoginActivity_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__MainActivity_002,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__MainActivity_002/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__MainActivity_002/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__ProfileFragment_005,UPDATED,1,json_objects,7,0,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__ProfileFragment_005/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__ProfileFragment_005/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__RegistrationActivity_003,UPDATED,1,json_objects,5,0,5,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__RegistrationActivity_003/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__RegistrationActivity_003/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__Speedometer_004,KEPT,1,json_objects,14,14,14,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__Speedometer_004/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__Speedometer_004/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__StatisticsFragment_007,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__StatisticsFragment_007/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_03__StatisticsFragment_007/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_04__ExampleUnitTest_001,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_04__ExampleUnitTest_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ecodriving_04__ExampleUnitTest_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_05__ExampleInstrumentedTest_001,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_05__ExampleInstrumentedTest_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_05__ExampleInstrumentedTest_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__HomeFragment_006,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__HomeFragment_006/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__HomeFragment_006/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__LoginActivity_001,KEPT,1,json_objects,7,7,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__LoginActivity_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__LoginActivity_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__MainActivity_002,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__MainActivity_002/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__MainActivity_002/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__ProfileFragment_005,UPDATED,1,json_objects,7,0,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__ProfileFragment_005/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__ProfileFragment_005/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__RegistrationActivity_003,UPDATED,1,json_objects,5,0,5,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__RegistrationActivity_003/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__RegistrationActivity_003/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__Speedometer_004,KEPT,1,json_objects,14,14,14,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__Speedometer_004/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__Speedometer_004/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__StatisticsFragment_007,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__StatisticsFragment_007/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_06__StatisticsFragment_007/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_07__ExampleUnitTest_001,KEPT,1,json_objects,1,1,1,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_07__ExampleUnitTest_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/example_07__ExampleUnitTest_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/home_08__HomeFragment_001,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/home_08__HomeFragment_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/home_08__HomeFragment_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/statistics_10__StatisticsFragment_001,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/statistics_10__StatisticsFragment_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/statistics_10__StatisticsFragment_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__HomeFragment_002,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__HomeFragment_002/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__HomeFragment_002/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__ProfileFragment_001,UPDATED,1,json_objects,7,0,7,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__ProfileFragment_001/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__ProfileFragment_001/testcases_raw.txt
/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__StatisticsFragment_003,KEPT,1,json_objects,10,10,10,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__StatisticsFragment_003/testcases.csv,/content/drive/MyDrive/CodeFiles_TestCase/Qwen/Code_File2/ui_11__StatisticsFragment_003/testcases_raw.txt
